player_id,3/20/2025,3/21/2025,3/22/2025,3/23/2025,3/27/2025,3/28/2025,3/29/2025,3/30/2025,4/5/2025,4/7/2025
309,Texas Tech,Arizona,Purdue,Maryland,Alabama,Mississippi,,,,
310,Kansas,,,,,,,,,
311,Clemson,,,,,,,,,
312,Gonzaga,Iowa State,Texas Tech,Maryland,Duke,Mississippi,,,,
313,VCU,,,,,,,,,
314,Wisconsin,Arizona,St. John's,,,,,,,
315,St. John's,Arizona,Texas Tech,Michigan State,Alabama,Tennessee,Florida,Houston,,
316,Tennessee,Iowa State,St. John's,,,,,,,
317,Tennessee,Michigan State,St. John's,,,,,,,
318,Purdue,Oregon,St. John's,,,,,,,
319,Gonzaga,Saint Mary's,Purdue,Maryland,Arkansas,,,,,
320,VCU,,,,,,,,,
321,Wisconsin,Kentucky,BYU,Illinois,,,,,,
322,Gonzaga,Oregon,Purdue,Maryland,BYU,,,,,
323,Louisville,,,,,,,,,
324,UCLA,Marquette,,,,,,,,
325,St. John's,Alabama,Arkansas,Arizona,BYU,,,,,
326,Wisconsin,Iowa State,Texas A&M,,,,,,,
327,Wisconsin,Iowa State,Purdue,Maryland,Arkansas,,,,,
328,Tennessee,Connecticut,Texas Tech,Maryland,Alabama,Mississippi,,,,
329,Houston,Florida,,,,,,,,
330,Texas A&M,Iowa State,Purdue,Maryland,Arkansas,,,,,
331,Gonzaga,Maryland,Wisconsin,,,,,,,
332,Texas Tech,Iowa State,St. John's,,,,,,,
333,Clemson,,,,,,,,,
334,Wisconsin,Michigan State,St. John's,,,,,,,
335,Houston,Maryland,,,,,,,,
336,Purdue,Maryland,St. John's,,,,,,,
337,Missouri,,,,,,,,,
338,Wisconsin,North Carolina,,,,,,,,
339,BYU,Saint Mary's,Drake,,,,,,,
340,Texas Tech,Oregon,Purdue,Alabama,BYU,,,,,
341,UCLA,Arizona,Tennessee,Maryland,Alabama,Mississippi,,,,
342,Gonzaga,Marquette,,,,,,,,
343,St. John's,Iowa State,Auburn,Michigan State,BYU,,,,,
344,St. John's,Maryland,Texas Tech,Alabama,Florida,Michigan,,,,
345,UCLA,Saint Mary's,Texas A&M,,,,,,,
346,Wisconsin,Kentucky,St. John's,,,,,,,
347,St. John's,Marquette,,,,,,,,
348,UC San Diego,,,,,,,,,
349,VCU,,,,,,,,,
350,Gonzaga,North Carolina,,,,,,,,
351,Wisconsin,Saint Mary's,Texas Tech,Maryland,Arkansas,,,,,
352,Tennessee,Saint Mary's,Purdue,Alabama,Florida,Mississippi,,,,
353,VCU,,,,,,,,,
354,Missouri,,,,,,,,,
355,St. John's,Arizona,Purdue,Iowa State,,,,,,
356,UCLA,Iowa State,Purdue,Maryland,Alabama,Houston,Florida,Tennessee,,
357,St. John's,Iowa State,,,,,,,,
358,St. John's,Michigan State,Tennessee,Illinois,,,,,,
359,Clemson,,,,,,,,,
360,Missouri,,,,,,,,,
361,Missouri,,,,,,,,,
362,Gonzaga,Arizona,Auburn,Michigan State,Alabama,Houston,Florida,Tennessee,,
363,Texas Tech,Iowa State,Purdue,Maryland,BYU,,,,,
364,Wisconsin,Michigan State,St. John's,,,,,,,
365,Missouri,,,,,,,,,
366,UCLA,Connecticut,St. John's,,,,,,,
367,Kansas,,,,,,,,,
368,Wisconsin,Maryland,BYU,Illinois,,,,,,
369,St. John's,Kentucky,Tennessee,Alabama,Arkansas,,,,,
370,St. John's,Kentucky,Tennessee,Maryland,Alabama,Michigan State,Auburn,Duke,,
371,Gonzaga,North Carolina,,,,,,,,
372,Wisconsin,Arizona,Texas Tech,Alabama,Arkansas,,,,,
373,Louisville,,,,,,,,,
374,St. John's,Alabama,Texas A&M,,,,,,,
375,Wisconsin,Saint Mary's,St. John's,,,,,,,
376,Clemson,,,,,,,,,
377,Wisconsin,Iowa State,Texas Tech,Michigan State,Florida,Auburn,Duke,Houston,,
378,Louisville,,,,,,,,,
379,Wisconsin,Iowa State,Texas A&M,,,,,,,
380,Houston,Kentucky,Purdue,Maryland,Texas Tech,Auburn,Florida,,,
381,Gonzaga,Kentucky,Texas A&M,,,,,,,
382,Wisconsin,Connecticut,Purdue,Maryland,Texas Tech,Tennessee,Auburn,Houston,,
383,Creighton,Colorado State,BYU,,,,,,,
384,Purdue,Connecticut,Texas Tech,Iowa State,,,,,,
385,UC San Diego,,,,,,,,,
386,Tennessee,Kentucky,Auburn,Alabama,Florida,Houston,Duke,Texas Tech,,
387,Gonzaga,Oregon,Drake,,,,,,,
388,Gonzaga,Maryland,Purdue,Michigan State,Texas Tech,Tennessee,Auburn,Houston,,
389,UCLA,Iowa State,Texas A&M,,,,,,,
390,Drake,Colorado State,Texas Tech,Maryland,BYU,,,,,
391,Louisville,,,,,,,,,
392,Purdue,Arizona,Michigan,Maryland,Texas Tech,Houston,Florida,Tennessee,,
393,Michigan,Maryland,Tennessee,Kentucky,Arkansas,,,,,
394,Wisconsin,Iowa State,Texas Tech,Alabama,Florida,Tennessee,Duke,Houston,,
395,Clemson,,,,,,,,,
396,UCLA,Marquette,,,,,,,,
397,Wisconsin,Arizona,Purdue,Maryland,Texas Tech,Tennessee,Houston,Auburn,,
398,Kansas,,,,,,,,,
399,Gonzaga,Connecticut,Wisconsin,,,,,,,
400,Clemson,,,,,,,,,
401,St. John's,North Carolina,,,,,,,,
402,Texas A&M,Arizona,Tennessee,Maryland,Texas Tech,Michigan State,Duke,Auburn,,
403,Gonzaga,Oregon,Purdue,Maryland,Texas Tech,Tennessee,Auburn,Houston,,
404,Missouri,,,,,,,,,
405,VCU,,,,,,,,,
406,Drake,Marquette,,,,,,,,
407,VCU,,,,,,,,,
408,UCLA,Marquette,,,,,,,,
409,BYU,Maryland,Purdue,Michigan State,Texas Tech,Houston,Florida,Tennessee,,
